terrain_type,Flat,Flat,Flat,Flat,Flat,Flat,Mountainous,Mountainous,Mountainous,Mountainous,Mountainous,Mountainous
name,Admiral AI,Admiral AI,Admiral AI,trAIns AI,trAIns AI,trAIns AI,Admiral AI,Admiral AI,Admiral AI,trAIns AI,trAIns AI,trAIns AI
quartile,q1,q2,q3,q1,q2,q3,q1,q2,q3,q1,q2,q3
date,,,,,,,,,,,,
1967-05-01,242729.0,508344.5,717542.5,334371.0,648735.0,1006128.75,130458.75,315411.5,561401.25,207850.75,441722.5,751270.75
1967-06-01,242729.0,508344.5,717542.5,334371.0,648735.0,1006128.75,130458.75,315411.5,561401.25,207850.75,441722.5,751270.75
1967-07-01,255873.75,546523.5,776798.25,346815.0,688206.0,1141500.75,140735.25,346565.0,627059.25,224470.5,476204.0,779406.0
1967-08-01,255873.75,546523.5,776798.25,346815.0,688206.0,1141500.75,140735.25,346565.0,627059.25,224470.5,476204.0,779406.0
1967-09-01,255873.75,546523.5,776798.25,346815.0,688206.0,1141500.75,140735.25,346565.0,627059.25,224470.5,476204.0,779406.0
1967-10-01,278526.0,553238.5,821120.0,395441.25,729713.0,1214767.5,153796.5,375799.5,672611.5,251088.0,498394.0,834268.5
1967-11-01,278526.0,553238.5,821120.0,395441.25,729713.0,1214767.5,153796.5,375799.5,672611.5,251088.0,498394.0,834268.5
1967-12-01,278526.0,553238.5,821120.0,395441.25,729713.0,1214767.5,153796.5,375799.5,672611.5,251088.0,498394.0,834268.5
1968-01-01,301719.75,582854.0,876825.75,413630.5,754153.5,1271779.25,183683.5,401807.0,734685.5,261679.5,520357.5,860563.5
1968-02-01,301719.75,582854.0,876825.75,413630.5,754153.5,1271779.25,183683.5,401807.0,734685.5,261679.5,520357.5,860563.5
1968-03-01,301719.75,582854.0,876825.75,413630.5,754153.5,1271779.25,183683.5,401807.0,734685.5,261679.5,520357.5,860563.5
1968-04-01,348283.25,629138.5,923649.75,438437.75,793049.0,1310064.5,201309.0,427402.0,793870.5,272679.5,559661.5,912253.5
1968-05-01,348283.25,629138.5,923649.75,438437.75,793049.0,1310064.5,201309.0,427402.0,793870.5,272679.5,559661.5,912253.5
1968-06-01,348283.25,629138.5,923649.75,438437.75,793049.0,1310064.5,201309.0,427402.0,793870.5,272679.5,559661.5,912253.5
1968-07-01,378013.75,671659.0,988956.25,468280.25,882209.5,1403040.75,223262.25,445417.5,856536.25,304071.5,606201.0,983895.75
1968-08-01,378013.75,671659.0,988956.25,468280.25,882209.5,1403040.75,223262.25,445417.5,856536.25,304071.5,606201.0,983895.75
1968-09-01,378013.75,671659.0,988956.25,468280.25,882209.5,1403040.75,223262.25,445417.5,856536.25,304071.5,606201.0,983895.75
1968-10-01,408780.0,711164.0,1034393.75,494493.0,925930.0,1495506.5,238929.0,469768.5,912253.25,304481.75,630577.5,1027273.0
1968-11-01,408780.0,711164.0,1034393.75,494493.0,925930.0,1495506.5,238929.0,469768.5,912253.25,304481.75,630577.5,1027273.0
1968-12-01,408780.0,711164.0,1034393.75,494493.0,925930.0,1495506.5,238929.0,469768.5,912253.25,304481.75,630577.5,1027273.0
1969-01-01,434341.5,756406.5,1063481.5,510784.5,988196.0,1570149.5,256372.25,501730.0,972528.25,329387.5,659776.0,1074669.0
1969-02-01,434341.5,756406.5,1063481.5,510784.5,988196.0,1570149.5,256372.25,501730.0,972528.25,329387.5,659776.0,1074669.0
1969-03-01,434341.5,756406.5,1063481.5,510784.5,988196.0,1570149.5,256372.25,501730.0,972528.25,329387.5,659776.0,1074669.0
1969-04-01,452359.75,806256.5,1116763.25,542026.0,1033314.5,1624004.75,271565.0,535147.0,1033199.25,367254.5,709021.5,1121786.5
1969-05-01,452359.75,806256.5,1116763.25,542026.0,1033314.5,1624004.75,271565.0,535147.0,1033199.25,367254.5,709021.5,1121786.5
1969-06-01,452359.75,806256.5,1116763.25,542026.0,1033314.5,1624004.75,271565.0,535147.0,1033199.25,367254.5,709021.5,1121786.5
1969-07-01,467386.5,847792.5,1163221.25,578435.75,1093682.5,1737691.5,284808.0,564290.5,1099096.75,398837.0,742353.0,1164058.0
1969-08-01,467386.5,847792.5,1163221.25,578435.75,1093682.5,1737691.5,284808.0,564290.5,1099096.75,398837.0,742353.0,1164058.0
1969-09-01,467386.5,847792.5,1163221.25,578435.75,1093682.5,1737691.5,284808.0,564290.5,1099096.75,398837.0,742353.0,1164058.0
1969-10-01,483840.25,887183.5,1204555.25,609813.25,1171773.0,1809289.25,297843.0,595889.5,1134490.5,418267.5,785850.0,1200549.0
1969-11-01,483840.25,887183.5,1204555.25,609813.25,1171773.0,1809289.25,297843.0,595889.5,1134490.5,418267.5,785850.0,1200549.0
1969-12-01,483840.25,887183.5,1204555.25,609813.25,1171773.0,1809289.25,297843.0,595889.5,1134490.5,418267.5,785850.0,1200549.0
1970-01-01,495418.0,948337.5,1280323.25,644272.0,1230839.5,1903348.25,298955.0,621253.0,1193427.5,431024.75,825042.0,1226299.5
1970-02-01,495418.0,948337.5,1280323.25,644272.0,1230839.5,1903348.25,298955.0,621253.0,1193427.5,431024.75,825042.0,1226299.5
1970-03-01,495418.0,948337.5,1280323.25,644272.0,1230839.5,1903348.25,298955.0,621253.0,1193427.5,431024.75,825042.0,1226299.5
1970-04-01,518676.5,998013.0,1337878.25,679210.5,1268728.5,2003079.0,338826.25,644257.0,1246881.25,444214.25,868559.5,1293107.0
1970-05-01,518676.5,998013.0,1337878.25,679210.5,1268728.5,2003079.0,338826.25,644257.0,1246881.25,444214.25,868559.5,1293107.0
1970-06-01,518676.5,998013.0,1337878.25,679210.5,1268728.5,2003079.0,338826.25,644257.0,1246881.25,444214.25,868559.5,1293107.0
1970-07-01,540215.25,1074476.5,1391811.0,685274.75,1347612.5,2089978.25,340189.25,666747.5,1282541.0,490047.0,891999.5,1356274.5
1970-08-01,540215.25,1074476.5,1391811.0,685274.75,1347612.5,2089978.25,340189.25,666747.5,1282541.0,490047.0,891999.5,1356274.5
1970-09-01,540215.25,1074476.5,1391811.0,685274.75,1347612.5,2089978.25,340189.25,666747.5,1282541.0,490047.0,891999.5,1356274.5
1970-10-01,564119.5,1108089.5,1471116.5,710171.0,1400253.0,2133003.0,363135.0,683303.5,1328556.0,527971.75,952085.0,1397752.75
1970-11-01,564119.5,1108089.5,1471116.5,710171.0,1400253.0,2133003.0,363135.0,683303.5,1328556.0,527971.75,952085.0,1397752.75
1970-12-01,564119.5,1108089.5,1471116.5,710171.0,1400253.0,2133003.0,363135.0,683303.5,1328556.0,527971.75,952085.0,1397752.75
1971-01-01,596407.75,1144633.0,1539870.5,745600.0,1463812.5,2208500.0,373464.5,714714.0,1374245.0,569439.75,1001539.0,1480737.75
1971-02-01,596407.75,1144633.0,1539870.5,745600.0,1463812.5,2208500.0,373464.5,714714.0,1374245.0,569439.75,1001539.0,1480737.75
1971-03-01,596407.75,1144633.0,1539870.5,745600.0,1463812.5,2208500.0,373464.5,714714.0,1374245.0,569439.75,1001539.0,1480737.75
1971-04-01,631336.0,1176948.0,1622698.25,775380.75,1465873.0,2321808.0,404724.5,748469.5,1415820.0,588187.75,1050498.0,1532862.0
1971-05-01,631336.0,1176948.0,1622698.25,775380.75,1465873.0,2321808.0,404724.5,748469.5,1415820.0,588187.75,1050498.0,1532862.0
1971-06-01,631336.0,1176948.0,1622698.25,775380.75,1465873.0,2321808.0,404724.5,748469.5,1415820.0,588187.75,1050498.0,1532862.0
1971-07-01,655577.25,1235437.0,1710218.5,805365.75,1508646.0,2356272.0,424468.75,774689.5,1465031.0,618492.0,1083604.5,1594866.75
1971-08-01,655577.25,1235437.0,1710218.5,805365.75,1508646.0,2356272.0,424468.75,774689.5,1465031.0,618492.0,1083604.5,1594866.75
1971-09-01,655577.25,1235437.0,1710218.5,805365.75,1508646.0,2356272.0,424468.75,774689.5,1465031.0,618492.0,1083604.5,1594866.75
1971-10-01,688068.75,1296873.0,1772681.25,806986.0,1595655.0,2443335.0,437479.75,810644.5,1510756.0,625953.0,1142774.0,1667799.0
1971-11-01,688068.75,1296873.0,1772681.25,806986.0,1595655.0,2443335.0,437479.75,810644.5,1510756.0,625953.0,1142774.0,1667799.0
1971-12-01,688068.75,1296873.0,1772681.25,806986.0,1595655.0,2443335.0,437479.75,810644.5,1510756.0,625953.0,1142774.0,1667799.0
1972-01-01,719675.25,1345611.0,1843567.75,845814.75,1663056.0,2510051.0,460856.0,834885.0,1567101.25,652162.0,1181062.0,1742559.75
1972-02-01,719675.25,1345611.0,1843567.75,845814.75,1663056.0,2510051.0,460856.0,834885.0,1567101.25,652162.0,1181062.0,1742559.75
1972-03-01,719675.25,1345611.0,1843567.75,845814.75,1663056.0,2510051.0,460856.0,834885.0,1567101.25,652162.0,1181062.0,1742559.75
1972-04-01,751239.5,1425993.5,1895511.5,890287.0,1729077.0,2569019.25,476096.5,886514.0,1612005.5,679016.75,1241412.5,1783592.5
1972-05-01,751239.5,1425993.5,1895511.5,890287.0,1729077.0,2569019.25,476096.5,886514.0,1612005.5,679016.75,1241412.5,1783592.5
1972-06-01,751239.5,1425993.5,1895511.5,890287.0,1729077.0,2569019.25,476096.5,886514.0,1612005.5,679016.75,1241412.5,1783592.5
1972-07-01,789218.5,1483451.0,1945725.5,927429.0,1811469.0,2648311.0,491498.0,942645.0,1657382.25,705777.5,1291707.5,1894084.25
1972-08-01,789218.5,1483451.0,1945725.5,927429.0,1811469.0,2648311.0,491498.0,942645.0,1657382.25,705777.5,1291707.5,1894084.25
1972-09-01,789218.5,1483451.0,1945725.5,927429.0,1811469.0,2648311.0,491498.0,942645.0,1657382.25,705777.5,1291707.5,1894084.25
1972-10-01,815769.5,1540288.5,2019828.75,968453.75,1868453.0,2744853.0,503789.25,1001878.0,1700574.25,732812.75,1333048.5,1925806.25
1972-11-01,815769.5,1540288.5,2019828.75,968453.75,1868453.0,2744853.0,595444.5,1023323.0,1703738.5,732812.75,1333048.5,1925806.25
1972-12-01,815769.5,1540288.5,2019828.75,968453.75,1868453.0,2744853.0,595444.5,1023323.0,1703738.5,732812.75,1333048.5,1925806.25
1973-01-01,841566.75,1587805.0,2083458.25,968751.75,1932417.0,2852702.5,621947.0,1068451.0,1738102.5,764307.25,1387202.5,1997343.5
1973-02-01,841566.75,1587805.0,2083458.25,968751.75,1932417.0,2852702.5,621947.0,1068451.0,1738102.5,764307.25,1387202.5,1997343.5
1973-03-01,841566.75,1587805.0,2083458.25,968751.75,1932417.0,2852702.5,621947.0,1068451.0,1738102.5,764307.25,1387202.5,1997343.5
1973-04-01,876902.5,1620353.5,2147421.75,1016408.25,2023407.0,2954972.75,639861.5,1138708.0,1788335.5,794519.5,1438277.5,2073554.5
1973-05-01,876902.5,1620353.5,2147421.75,1016408.25,2023407.0,2954972.75,639861.5,1138708.0,1788335.5,794519.5,1438277.5,2073554.5
1973-06-01,876902.5,1620353.5,2147421.75,1016408.25,2023407.0,2954972.75,639861.5,1138708.0,1788335.5,794519.5,1438277.5,2073554.5
1973-07-01,887882.0,1663182.0,2211814.75,1041159.25,2051358.0,3058566.25,653542.0,1183706.0,1828373.5,824763.0,1460190.5,2151980.25
1973-08-01,887882.0,1663182.0,2211814.75,1041159.25,2051358.0,3058566.25,653542.0,1183706.0,1828373.5,824763.0,1460190.5,2151980.25
1973-09-01,887882.0,1663182.0,2211814.75,1041159.25,2051358.0,3058566.25,653542.0,1183706.0,1828373.5,824763.0,1460190.5,2151980.25
1973-10-01,922199.75,1716267.5,2266340.25,1096385.25,2129210.5,3178333.75,675885.0,1243157.0,1884616.0,855715.0,1515908.5,2218946.0
1973-11-01,922199.75,1716267.5,2266340.25,1096385.25,2129210.5,3178333.75,675885.0,1243157.0,1884616.0,855715.0,1515908.5,2218946.0
1973-12-01,922199.75,1716267.5,2266340.25,1096385.25,2129210.5,3178333.75,675885.0,1243157.0,1884616.0,855715.0,1515908.5,2218946.0
1974-01-01,956456.75,1781697.0,2344486.5,1123132.25,2184102.0,3277419.5,698562.0,1262601.0,1934072.0,886644.0,1580102.5,2314348.25
1974-02-01,956456.75,1781697.0,2344486.5,1123132.25,2184102.0,3277419.5,698562.0,1262601.0,1934072.0,886644.0,1580102.5,2314348.25
1974-03-01,956456.75,1781697.0,2344486.5,1123132.25,2184102.0,3277419.5,698562.0,1262601.0,1934072.0,886644.0,1580102.5,2314348.25
1974-04-01,1012268.5,1830151.0,2366947.5,1194793.5,2221336.5,3359549.75,715585.0,1298355.0,1980543.5,917709.25,1624911.5,2363378.0
1974-05-01,1012268.5,1830151.0,2366947.5,1194793.5,2221336.5,3359549.75,715585.0,1298355.0,1980543.5,917709.25,1624911.5,2363378.0
1974-06-01,1012268.5,1830151.0,2366947.5,1194793.5,2221336.5,3359549.75,715585.0,1298355.0,1980543.5,917709.25,1624911.5,2363378.0
1974-07-01,1051543.5,1865032.0,2399907.25,1216827.75,2257688.0,3434115.5,727899.0,1316718.0,2014661.5,952947.75,1658034.0,2426242.5
1974-08-01,1051543.5,1865032.0,2399907.25,1216827.75,2257688.0,3434115.5,727899.0,1316718.0,2014661.5,952947.75,1658034.0,2426242.5
1974-09-01,1051543.5,1865032.0,2399907.25,1216827.75,2257688.0,3434115.5,727899.0,1316718.0,2014661.5,952947.75,1658034.0,2426242.5
1974-10-01,1072681.5,1878629.0,2415442.5,1268193.0,2284017.0,3456966.5,733718.0,1334290.0,2033809.5,968653.5,1678194.0,2439562.0
1974-11-01,1072681.5,1878629.0,2415442.5,1268193.0,2284017.0,3456966.5,733718.0,1334290.0,2033809.5,968653.5,1678194.0,2439562.0
1974-12-01,1072681.5,1878629.0,2415442.5,1268193.0,2284017.0,3456966.5,733718.0,1334290.0,2033809.5,968653.5,1678194.0,2439562.0
1975-01-01,1076995.0,1899319.5,2449801.5,1315024.25,2316608.5,3504065.75,748823.0,1354571.0,2076554.5,972901.25,1713540.0,2478487.5
